#Path: /HepData/8405/d5-x1-y1
#VERBATIMThe average transverse momentum as a function of multiplicity of charged particles
#    having transverse momentum in the range 0.15-10 GeV/c and |eta| < 0.3 produced from PB-PB collisions 
#    at a centre-of mass energy/nucleon of 2.76 TeV
#Location: F 2
#ABS(ETARAP(P=3)) : < 0.3
#PT(P=3) : 0.15 - 10.0 GeV
#RE : PB PB --> CHARGED X
#SQRT(S)/NUCLEON : 2760.0 GeV
#x: MULT(P=3)
#y : MEAN(NAME=PT) IN GEV
#x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
1.0	0.5	1.5	0.5188	+8.5E-4	-8.5E-4	+0.0068	-0.0068
2.0	1.5	2.5	0.5278	+5.7E-4	-5.7E-4	+0.007	-0.007
3.0	2.5	3.5	0.5377	+4.5E-4	-4.5E-4	+0.0065	-0.0065
4.0	3.5	4.5	0.5473	+3.9E-4	-3.9E-4	+0.0067	-0.0067
5.0	4.5	5.5	0.5563	+3.6E-4	-3.6E-4	+0.0068	-0.0068
6.0	5.5	6.5	0.5643	+3.4E-4	-3.4E-4	+0.0069	-0.0069
7.0	6.5	7.5	0.5715	+3.2E-4	-3.2E-4	+0.0071	-0.0071
8.0	7.5	8.5	0.5778	+3.1E-4	-3.1E-4	+0.0073	-0.0073
9.0	8.5	9.5	0.5834	+2.9E-4	-2.9E-4	+0.0076	-0.0076
10.0	9.5	10.5	0.5884	+2.8E-4	-2.8E-4	+0.0077	-0.0077
11.0	10.5	11.5	0.5928	+2.8E-4	-2.8E-4	+0.0076	-0.0076
12.0	11.5	12.5	0.5965	+2.7E-4	-2.7E-4	+0.0076	-0.0076
13.0	12.5	13.5	0.5999	+2.6E-4	-2.6E-4	+0.0076	-0.0076
14.0	13.5	14.5	0.6029	+2.6E-4	-2.6E-4	+0.0076	-0.0076
15.0	14.5	15.5	0.6055	+2.5E-4	-2.5E-4	+0.0076	-0.0076
16.0	15.5	16.5	0.6079	+2.4E-4	-2.4E-4	+0.0076	-0.0076
17.0	16.5	17.5	0.6099	+2.4E-4	-2.4E-4	+0.0077	-0.0077
18.0	17.5	18.5	0.6117	+2.3E-4	-2.3E-4	+0.0078	-0.0078
